Unnamed: 0,LATITUDE,LONGITUDE,Collision,osmnxId
0,43.649418,-79.371446,0,4095622247
1,43.650461,-79.371924,0,25768773
2,43.651534,-79.37236,0,29687658
3,43.652718,-79.372824,0,29687912
4,43.653704,-79.373238,0,29688544
5,43.655357,-79.373862,0,29688418
6,43.657052,-79.374531,1,25768772
7,43.660432,-79.375854,0,29603394
8,43.66242,-79.376708,1,27571559
9,43.666289,-79.378325,1,25628755
10,43.668869,-79.379416,0,25813514
11,43.669989,-79.379923,0,25628935
12,43.671577,-79.38052,0,20953780
13,43.648513,-79.373834,0,29689432
14,43.649916,-79.374409,0,25628775
15,43.651173,-79.374925,0,29687656
16,43.652441,-79.375448,1,29687913
17,43.65317,-79.375754,1,29605048
18,43.654817,-79.376441,0,29688409
19,43.656499,-79.377127,0,25628759
20,43.659858,-79.378522,0,29688909
21,43.661871,-79.379335,1,25628757
22,43.665703,-79.380928,0,25628751
23,43.671022,-79.383123,0,20964582
24,43.650654,-79.377248,0,29687655
25,43.651952,-79.377756,1,29687910
26,43.65267,-79.378066,1,29605043
27,43.646846,-79.376931,0,25628764
28,43.647848,-79.377351,0,29687510
29,43.649162,-79.377904,0,29605053
30,43.650419,-79.378436,0,29687654
31,43.651697,-79.378965,0,29687914
32,43.652421,-79.379276,0,29696827
33,43.654066,-79.379957,0,29688406
34,43.656326,-79.380912,0,29603223
35,43.65909,-79.382096,0,29603320
36,43.661369,-79.383094,0,26241001
37,43.664935,-79.384558,0,24985734
38,43.670229,-79.386767,0,20964462
39,43.672879,-79.387845,0,25628740
40,43.675603,-79.38895,0,20964461
41,43.676976,-79.389534,0,56922458
42,43.679139,-79.390424,0,34993709
43,43.682023,-79.391574,0,34993902
44,43.688075,-79.394098,0,60891373
45,43.698298,-79.396601,0,55540751
57,43.645996,-79.379115,0,3586644103
58,43.647345,-79.379702,1,29687309
59,43.648653,-79.380268,0,29605052
60,43.649876,-79.380823,0,29687653
61,43.651224,-79.381452,0,29687983
62,43.65189,-79.381698,0,29603229
63,43.652965,-79.382631,0,1551002988
64,43.655721,-79.383734,0,29603222
65,43.658496,-79.384865,1,29603262
66,43.660814,-79.385857,1,24959511
67,43.664366,-79.387151,0,24959504
68,43.669701,-79.389468,0,20964581
69,43.646638,-79.383007,0,34522600
70,43.647934,-79.383531,0,29605051
71,43.649196,-79.384074,0,29687652
72,43.6505,-79.38462,1,34520976
73,43.645291,-79.382476,0,25628766
74,43.646405,-79.384076,1,29687315
75,43.647655,-79.384788,0,26240577
76,43.648857,-79.38548,1,26240563
77,43.65014,-79.38624,1,29687984
78,43.650827,-79.386628,1,32547297
79,43.654812,-79.388484,0,42606444
80,43.656323,-79.388959,0,29604863
81,43.659847,-79.39049,0,21436517
82,43.66361,-79.390626,0,3340615393
83,43.665935,-79.391879,0,2497429031
84,43.668685,-79.394119,1,20979763
99,43.699825,-79.430961,0,29656736
100,43.698048,-79.439379,0,29656432
101,43.697293,-79.442789,0,49573366
102,43.696242,-79.447688,0,243888361
103,43.695684,-79.450293,0,21292231
104,43.694985,-79.453476,0,247125418
105,43.672136,-79.395624,0,34710052
106,43.674705,-79.396651,0,20979764
107,43.67719,-79.397579,0,20380929
108,43.679547,-79.39855,0,49628902
109,43.684324,-79.400495,0,49629130
110,43.686624,-79.401479,0,60891378
111,43.690773,-79.403027,0,4266573441
112,43.69373,-79.401852,0,98499916
113,43.69788,-79.403231,0,98465099
114,43.698761,-79.406076,1,1560216121
130,43.674577,-79.380161,0,20953678
131,43.68832,-79.383542,0,20954258
132,43.690374,-79.383288,0,20954267
133,43.693604,-79.384621,0,20954270
134,43.698205,-79.386448,0,33531714
163,43.672219,-79.384788,0,25832100
164,43.653099,-79.387585,0,29605016
165,43.694104,-79.366284,0,36258015
167,43.69673,-79.371732,0,2274654783
171,43.682572,-79.39976,0,60910086
172,43.6574,-79.35654,0,34678757
173,43.659502,-79.357445,0,29688434
174,43.663687,-79.35923,1,31022265
175,43.665882,-79.357365,0,31022275
178,43.649342,-79.42078,0,25629235
179,43.65014,-79.439714,0,72304414
180,43.649446,-79.424738,0,25629234
181,43.649883,-79.435598,0,129156174
185,43.665438,-79.468576,0,25767793
186,43.665388,-79.464561,0,25767802
188,43.649623,-79.431438,1,29690118
191,43.662517,-79.38637,0,24959509
192,43.676982,-79.447423,0,502020452
194,43.652296,-79.406015,0,21631723
195,43.662597,-79.364003,0,31086767
196,43.648635,-79.386558,1,29687649
197,43.647371,-79.38605,0,29604900
199,43.643904,-79.40267,0,21631720
201,43.646303,-79.366295,0,208539723
202,43.641006,-79.380705,1,21099015
203,43.641609,-79.380953,1,208533279
207,43.647757,-79.361271,0,21099033
208,43.645501,-79.369794,1,21099028
209,43.644197,-79.37586,1,1363831222
210,43.64317,-79.37791,1,208533278
211,43.6421,-79.377444,1,34710074
212,43.653562,-79.363581,1,29687550
213,43.638474,-79.392196,0,95636284
214,43.636444,-79.399607,1,21090838
219,43.635866,-79.401893,0,247298849
220,43.634499,-79.408721,1,21098747
221,43.654549,-79.363998,1,20953853
222,43.633387,-79.434586,1,156900260
223,43.669427,-79.382476,0,25628750
224,43.638362,-79.45353,0,72302964
225,43.666059,-79.393178,0,20979743
226,43.636222,-79.465271,0,21098705
227,43.635079,-79.468076,0,262267320
242,43.651551,-79.362731,1,21090712
243,43.652721,-79.363216,1,21090784
244,43.655609,-79.364434,0,25768708
245,43.656946,-79.364973,1,29688422
246,43.659444,-79.365987,1,35506392
247,43.661956,-79.367007,1,29688872
248,43.664269,-79.367958,0,32755993
249,43.668161,-79.369537,0,31096820
250,43.672016,-79.370764,0,20953772
251,43.650382,-79.367892,0,25628774
252,43.651282,-79.368252,1,29605071
253,43.652149,-79.368634,1,29687663
254,43.65338,-79.369114,0,72304591
255,43.654531,-79.36944,0,34682420
256,43.658304,-79.371,0,27559776
257,43.661228,-79.372218,0,32756005
258,43.663196,-79.373038,0,32756002
259,43.667066,-79.374656,0,25813496
260,43.672317,-79.376838,0,20953775
261,43.644755,-79.384981,0,29604910
262,43.646093,-79.385564,0,29687316
263,43.654313,-79.391437,0,29696843
264,43.65381,-79.393832,0,29604747
265,43.649515,-79.389134,1,34520379
266,43.648426,-79.393259,0,29687989
267,43.649153,-79.390765,0,35506002
268,43.647301,-79.392799,0,29687645
269,43.66751,-79.399815,0,20964579
270,43.642708,-79.393895,0,23922875
271,43.645451,-79.395002,0,21436489
272,43.646722,-79.395533,0,29687678
273,43.647902,-79.396023,1,29687992
274,43.648731,-79.396364,1,23922863
275,43.652937,-79.398015,0,25629242
276,43.655859,-79.399205,1,29604669
277,43.65794,-79.400059,0,6374117188
278,43.663065,-79.402104,0,29658390
279,43.666655,-79.403803,0,24959524
280,43.670235,-79.360193,0,259911774
290,43.662446,-79.351357,0,27558323
291,43.66119,-79.358131,0,27558330
292,43.676196,-79.358828,1,20964567
293,43.673836,-79.36812,0,20953421
294,43.647197,-79.403991,1,21631725
295,43.640732,-79.401378,0,21631716
296,43.646453,-79.403717,1,29688004
297,43.635709,-79.403524,0,247298798
298,43.656469,-79.407705,0,29690663
301,43.661515,-79.409748,0,21631715
302,43.668148,-79.412374,0,3128480618
303,43.67314,-79.414344,0,21292198
304,43.679812,-79.41699,1,49402708
305,43.687185,-79.419939,0,1560165309
306,43.691917,-79.421873,0,1560932496
317,43.656171,-79.370091,0,29688419
319,43.665132,-79.411205,0,21631714
320,43.66346,-79.418837,0,20964576
321,43.662501,-79.423254,0,20964575
322,43.661163,-79.429431,0,20964574
323,43.659877,-79.435333,0,20964572
324,43.658347,-79.442714,0,20964571
325,43.656308,-79.452406,1,21436453
326,43.654686,-79.459966,0,50372408
327,43.653515,-79.465232,0,50367550
339,43.661971,-79.425612,0,21631747
340,43.677545,-79.351941,0,32441328
