NAME,CATEGORY,ADDRESS_POINT_ID,lat,lng,rating,open_at,close_at
BMO Field,Sports / Entertainment Venue,20229243,43.6331702,-79.4186162,4.5,900.0,1700.0
Aga Khan Museum,Museum,10142948,43.7252521,-79.3322231,4.5,1000.0,1730.0
Air Canada Centre,Sports / Entertainment Venue,7929257,43.6434661,-79.3790989,4.5,900.0,1700.0
Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,8418224,43.6664381,-79.4039549,4.3,830.0,1500.0
Alexander Muir Memorial Gardens,Nature/ Park,10154587,43.7215421,-79.4011668,4.7,0.0,1700.0
Allan Gardens,Nature/ Park,12387690,43.6617429,-79.3747382,4.6,1000.0,1600.0
Alumnae Theatre,Performing Arts,11070101,43.6527542,-79.36498929999999,4.5,900.0,1700.0
Art Gallery of Ontario,Gallery,796549,43.6536066,-79.39251229999999,4.7,1030.0,1730.0
Ashbridges Bay Park,Nature/ Park,7650406,43.6618354,-79.3116652,4.6,900.0,1700.0
Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,14077650,43.7094526,-79.2337805,4.6,600.0,2300.0
BAPS Shri Swaminarayan Mandir,Landmark,7063040,43.7387778,-79.62606939999999,4.8,900.0,1200.0
Beanfield Centre (formerly Allstream Centre),Convention & Trade Centres,13497744,43.6341781,-79.41060639999999,4.3,900.0,1700.0
Berkeley Street Theatre,Performing Arts,8354326,43.6506797,-79.3639975,4.6,900.0,1700.0
Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,10924127,43.6642141,-79.37784359999999,4.5,1200.0,1600.0
Billy Bishop Toronto City Airport,Transportation,8491775,43.6284819,-79.3959577,4.3,900.0,1700.0
Black Creek Pioneer Village,Museum,544620,43.7734388,-79.5169094,4.6,1100.0,1500.0
Buddies in Bad Times Theatre,Performing Arts,7730175,43.6633185,-79.38306589999999,4.6,1600.0,2200.0
Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue,20100991,43.6292459,-79.4152393,4.4,900.0,1700.0
Campbell House,Museum,8067818,43.6510504,-79.3873108,4.5,1000.0,1630.0
Canada's Walk of Fame,Landmark,7929669,43.64716019999999,-79.3867514,4.1,0.0,1700.0
Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,7063040,43.8380241,-79.43034589999999,3.6,900.0,1700.0
Canadian Sculpture Centre,Gallery,7730188,43.6502419,-79.361396,4.7,1100.0,1700.0
CBC Museum,Museum,10598280,43.6448042,-79.3883401,4.0,900.0,1700.0
Cedar Ridge Creative Centre,Nature/ Park,322165,43.7573433,-79.207077,4.6,900.0,1600.0
Centennial Park Conservatory,Nature/ Park,5495477,43.6493868,-79.5884968,4.6,1000.0,1600.0
Centre Island Beach,Nature/ Park,8133372,43.61570469999999,-79.3742682,4.6,900.0,1700.0
Centreville Amusement Park,Attraction,8133385,43.6204786,-79.3736296,4.4,900.0,1700.0
Cherry Beach/ Clarke Beach Park,Nature/ Park,10495088,43.6368082,-79.344113,4.4,500.0,2300.0
Chinese Cultural Centre of Greater Toronto,Attraction,13504489,43.7947597,-79.23348279999999,4.3,1000.0,1700.0
Cloud Gardens Conservatory,Garden / Conservatory,8677073,43.6511469,-79.38009660000002,3.9,900.0,1700.0
CN Tower,Attraction,10598279,43.6425662,-79.3870568,4.6,1000.0,2100.0
Colborne Lodge,Museum,7730490,43.6404149,-79.4599726,4.4,900.0,1700.0
Dancemakers and the Centre for Creation,Performing Arts,30032097,43.6498923,-79.3585719,4.6,1000.0,1700.0
Design Exchange,Museum,14206258,43.6476942,-79.3803279,4.2,900.0,1700.0
Downsview Park,Nature/ Park,13494845,43.74395940000001,-79.48414269999999,4.4,0.0,1700.0
Ed Mirvish Theatre,Performing Arts,14199877,43.6552521,-79.37940540000001,4.6,900.0,1700.0
Elgin and Winter Garden Theatre Centre,Performing Arts,7762814,43.6530164,-79.3793958,4.7,900.0,1700.0
Enercare Centre (formely known as Direct Energy Centre),Convention & Trade Centres,13497734,43.6346773,-79.41231979999999,4.3,900.0,1700.0
Evergreen Brick Works,Attraction,17494,43.6843314,-79.3647127,4.6,0.0,1700.0
Exhibition Place,Convention & Trade Centres,13497734,43.63507389999999,-79.4123625,4.4,800.0,2145.0
Factory Theatre,Performing Arts,8457322,43.6454714,-79.4028279,4.6,1200.0,1600.0
Famous PEOPLE Players,Performing Arts,30063014,43.6150574,-79.5206638,4.7,900.0,2300.0
Fort York National Historic Site,Museum,30017954,43.6374082,-79.4066461,4.5,1000.0,1600.0
Four Seasons Centre for the Performing Arts,Performing Arts,856378,43.650573,-79.385683,4.8,900.0,1700.0
Gallery Indigena,Gallery,30032158,43.6500929,-79.3600359,4.7,900.0,1700.0
Gardiner Museum of Ceramic Art,Museum,8408486,43.6680934,-79.39315309999999,4.3,1000.0,1700.0
George Ignatieff Theatre,Performing Arts,8408609,43.665581,-79.3971596,5.0,900.0,2100.0
Gibraltar Point Beach,Nature/ Park,8133458,43.6123327,-79.3819707,4.6,900.0,1700.0
Gibson House Museum,Museum,7131356,43.769634,-79.414895,4.5,1100.0,1230.0
Glen Rouge Campground,Nature/ Park,10223028,43.8056324,-79.13711909999999,4.2,900.0,1700.0
Glenn Gould Studio,Performing Arts,10598280,43.6443752,-79.38777569999999,4.6,900.0,1700.0
Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,6620192,43.7480943,-79.192493,4.7,900.0,1700.0
Toronto Coach Terminal,Transportation,7792271,43.6560524,-79.3846762,3.3,900.0,1700.0
Hanlan's Point Beach,Nature/ Park,8133591,43.6214946,-79.3956513,4.6,0.0,1700.0
Harbourfront Centre,Performing Arts,11226853,43.638834,-79.3818785,4.6,900.0,1700.0
Hart House Theatre,Performing Arts,8128861,43.6640136,-79.3943321,4.6,1000.0,1500.0
High Park,Nature/ Park,10250060,43.64654789999999,-79.4636903,4.7,0.0,1700.0
Historic Zion Schoolhouse,Museum,14070727,43.7903686,-79.3633808,4.5,900.0,1700.0
Hockey Hall of Fame,Attraction,8676865,43.6472722,-79.37769019999999,4.6,1000.0,1600.0
HTO Park,Nature/ Park,14069050,43.6377999,-79.38817089999999,4.5,0.0,1700.0
Humber Arboretum,Nature/ Park,12387605,43.7248438,-79.6074697,4.7,900.0,1600.0
Humber Bay Park ( Humber Bay Butterfly Habitat),Nature/ Park,11272401,43.6241774,-79.47727560000001,4.6,0.0,1700.0
INFOTOGO Tourist Info Trailer - Ferry Terminal,Visitor Information,8676757,43.6404124,-79.3757241,4.1,900.0,1700.0
INFOTOGO Tourist Info Trailer - Nathan Phillips Square,Visitor Information,856375,43.6527069,-79.38341369999999,4.6,900.0,1700.0
INFOTOGO Tourist Info Trailer - Roundhouse Park,Visitor Information,14172191,43.6412745,-79.3853026,4.5,2130.0,1700.0
Isabel Bader Theatre,Performing Arts,20169543,43.6671528,-79.3924806,4.5,900.0,1700.0
Jack Layton Ferry Terminal,Transportation,8676757,43.6404124,-79.3757241,4.1,900.0,1700.0
James Garden Park,Garden / Conservatory,998509,43.6716852,-79.51429970000001,4.7,900.0,2100.0
Japan Foundation,Museum,8535820,43.6709416,-79.3864215,4.3,1130.0,1330.0
