Longitude,Latitude,Address
-79.389653,43.669624,Bay Subway Station
-79.379568,43.768544,Bessarion Subway Station
-79.368367,43.673658,Castle Frank Subway Station
-79.41802,43.663659,Christie Subway Station
-79.323692,43.683357,Coxwell Subway Station
-79.346952,43.77511,Don Mills Subway Station
-79.46291,43.750348,Downsview Subway Station
-79.380984,43.656363,Dundas Subway Station
-79.407034,43.674731,Dupont Subway Station
-79.41566,43.780174,Finch Subway Station
-79.437718,43.698421,Eglinton West Subway Station
-79.264469,43.732753,Kennedy Subway Station
-79.337468,43.680396,Donlands Subway Station
-79.534879,43.638253,Kipling Subway Station
-79.464369,43.653746,High Park Subway Station
-79.398022,43.704901,Eglinton Subway Station
